date,djct
2003-08-20,4130.04
2003-08-21,4145.96
2003-08-22,4101.98
2003-08-25,4096.06
2003-08-26,4105.31
2003-08-27,4102.95
2003-08-28,4127.58
2003-08-29,4146.59
2003-09-02,4210.38
2003-09-03,4232.9
2003-09-04,4235.46
2003-09-05,4207.95
2003-09-08,4241.86
2003-09-09,4205.51
2003-09-10,4175.7
2003-09-11,4196.41
2003-09-12,4204.78
2003-09-15,4193.68
2003-09-16,4245.84
2003-09-17,4231.87
2003-09-18,4298.51
2003-09-19,4285.37
2003-09-22,4244.99
2003-09-23,4265.75
2003-09-24,4197.45
2003-09-25,4160.19
2003-09-26,4147.24
2003-09-29,4191.84
2003-09-30,4146.65
2003-10-01,4227.64
2003-10-02,4236.87
2003-10-03,4274.11
2003-10-06,4286.65
2003-10-07,4299.41
2003-10-08,4289.69
2003-10-09,4329.58
2003-10-10,4315.28
2003-10-13,4361.18
2003-10-14,4379.33
2003-10-15,4361.74
2003-10-16,4365.75
2003-10-17,4334.76
2003-10-20,4353.89
2003-10-21,4351.85
2003-10-22,4295.98
2003-10-23,4302.94
2003-10-24,4295.26
2003-10-27,4305.64
2003-10-28,4357.45
2003-10-29,4373.73
2003-10-30,4390.26
2003-10-31,4386.26
2003-11-03,4420.01
2003-11-04,4407.3
2003-11-05,4401.11
2003-11-06,4429.37
2003-11-07,4411.74
2003-11-10,4388.57
2003-11-11,4373.08
2003-11-12,4413.74
2003-11-13,4407.63
2003-11-14,4381.19
2003-11-17,4345.49
2003-11-18,4304.79
2003-11-19,4330.82
2003-11-20,4306.28
2003-11-21,4304.81
2003-11-24,4363.59
2003-11-25,4381.97
2003-11-26,4389.53
2003-11-28,4391.41
2003-12-01,4444.22
2003-12-02,4422.99
2003-12-03,4427.78
2003-12-04,4446.45
2003-12-05,4419.23
2003-12-08,4458.38
2003-12-09,4435.59
2003-12-10,4433.61
2003-12-11,4480.84
2003-12-12,4496.78
2003-12-15,4479.05
2003-12-16,4516.29
2003-12-17,4525.98
2003-12-18,4570.71
2003-12-19,4580.63
2003-12-22,4608.84
2003-12-23,4614.98
2003-12-24,4599.01
2003-12-26,4607.12
2003-12-29,4661.72
2003-12-30,4651.89
2003-12-31,4650.39
2004-01-02,4639.55
2004-01-05,4681.26
2004-01-06,4681.46
2004-01-07,4684.06
2004-01-08,4698.61
2004-01-09,4645.98
2004-01-12,4662.83
2004-01-13,4647.19
2004-01-14,4687.17
2004-01-15,4679.67
2004-01-16,4700.51
2004-01-20,4680.22
2004-01-21,4737.02
2004-01-22,4743.22
2004-01-23,4722.5
2004-01-26,4749.02
2004-01-27,4712.37
2004-01-28,4655.9
2004-01-29,4672.62
2004-01-30,4629.67
2004-02-02,4623.01
2004-02-03,4622.19
2004-02-04,4592.12
2004-02-05,4597.59
2004-02-06,4653.41
2004-02-09,4657.06
2004-02-10,4680.13
2004-02-11,4728.3
2004-02-12,4713.51
2004-02-13,4680.63
2004-02-17,4712.83
2004-02-18,4700.19
2004-02-19,4691.69
2004-02-20,4673.42
2004-02-23,4660.66
2004-02-24,4648.21
2004-02-25,4668.87
2004-02-26,4676.3
2004-02-27,4691.95
2004-03-01,4726.98
2004-03-02,4694.96
2004-03-03,4691.85
2004-03-04,4690.61
2004-03-05,4702.96
2004-03-08,4673.39
2004-03-09,4641.73
2004-03-10,4574.18
2004-03-11,4524.52
2004-03-12,4585.88
2004-03-15,4521.57
2004-03-16,4545.77
2004-03-17,4615.52
2004-03-18,4604.54
2004-03-19,4555.32
2004-03-22,4500.69
2004-03-23,4505.72
2004-03-24,4501.2
2004-03-25,4574.79
2004-03-26,4577.27
2004-03-29,4632.02
2004-03-30,4648.77
2004-03-31,4649.67
2004-04-01,4668.74
2004-04-02,4710.54
2004-04-05,4729.31
2004-04-06,4741.28
2004-04-07,4702.8
2004-04-08,4681.44
2004-04-12,4688.25
2004-04-13,4623.15
2004-04-14,4626.99
2004-04-15,4640.28
2004-04-16,4669.2
2004-04-19,4655.87
2004-04-20,4612.85
2004-04-21,4631.69
2004-04-22,4701.43
2004-04-23,4701.59
2004-04-26,4690.29
2004-04-27,4699.24
2004-04-28,4656.36
2004-04-29,4612.14
2004-04-30,4593.99
2004-05-03,4635.07
2004-05-04,4635.94
2004-05-05,4632.65
2004-05-06,4613.43
2004-05-07,4534.56
2004-05-10,4475.89
2004-05-11,4492.06
2004-05-12,4505.23
2004-05-13,4504.33
2004-05-14,4506.97
2004-05-17,4455.7
2004-05-18,4494.23
2004-05-19,4480.89
2004-05-20,4482.2
2004-05-21,4502.47
2004-05-24,4512.88
2004-05-25,4594.47
2004-05-26,4596.19
2004-05-27,4631.5
2004-05-28,4628.34
2004-06-01,4635.15
2004-06-02,4668.95
2004-06-03,4627.28
2004-06-04,4653.23
2004-06-07,4719.47
2004-06-08,4738.07
2004-06-09,4695.42
2004-06-10,4709.98
2004-06-14,4675.93
2004-06-15,4710.62
2004-06-16,4722.52
2004-06-17,4727.29
2004-06-18,4744.18
2004-06-21,4736.25
2004-06-22,4747.1
2004-06-23,4800.48
2004-06-24,4787.64
2004-06-25,4780.81
2004-06-28,4783.72
2004-06-29,4793.19
2004-06-30,4810.96
2004-07-01,4765.73
2004-07-02,4749.1
2004-07-06,4719.8
2004-07-07,4741.6
2004-07-08,4689.82
2004-07-09,4702.35
2004-07-12,4713.57
2004-07-13,4710.86
2004-07-14,4711.36
2004-07-15,4717.11
2004-07-16,4702.62
2004-07-19,4702.2
2004-07-20,4740.09
2004-07-21,4670.9
2004-07-22,4653.53
2004-07-23,4623.96
2004-07-26,4623.32
2004-07-27,4661.47
2004-07-28,4685.13
2004-07-29,4713.51
2004-07-30,4712.45
2004-08-02,4736.12
2004-08-03,4717.43
